No,_address,_body,date,Amount,Action,Transaction_Type,Action_Code,Amount_Normalized,Amount_Standardized
1,AX-FEDBNK,Rs 40.00 debited from your A/c using UPI on 01-08-2023 08:51:25 to VPA eshaanbhatu@okaxis - (UPI Ref No 321394732898)-Federal Bank,01-08-2023 08:51,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
2,AX-FEDBNK,Rs 50.00 debited from your A/c using UPI on 01-08-2023 11:38:54 to VPA ethansaju10@okicici - (UPI Ref No 321310492524)-Federal Bank,01-08-2023 11:56,50.0,debited,0,1,0.0018148820326678765,-0.15569226446282217
3,AD-FEDBNK,Rs 75.00 debited from your A/c using UPI on 01-08-2023 12:02:26 to VPA paytmqr13ipamzenn@paytm - (UPI Ref No 321311313746)-Federal Bank,01-08-2023 12:05,75.0,debited,0,1,0.0027408422534167935,-0.13647266243956274
4,AD-FEDBNK,Rs 200.00 debited from your A/c using UPI on 01-08-2023 17:09:11 to VPA 9416094828@icici - (UPI Ref No 321321973322)-Federal Bank,01-08-2023 17:09,200.0,debited,0,1,0.0073706433571613765,-0.04037465232326565
5,AX-FEDBNK,Rs 255.00 debited from your A/c using UPI on 02-08-2023 16:25:38 to VPA 9416094828@icici - (UPI Ref No 321457410109)-Federal Bank,02-08-2023 16:25,255.0,debited,0,1,0.009407755842808991,0.0019084721279050813
6,AX-FEDBNK,Rs 70.00 debited from your A/c using UPI on 03-08-2023 15:27:11 to VPA 9416094828@icici - (UPI Ref No 321595630435)-Federal Bank,03-08-2023 15:27,70.0,debited,0,1,0.00255565020926701,-0.14031658284421464
7,AX-FEDBNK,Rs 30.00 debited from your A/c using UPI on 03-08-2023 15:29:40 to VPA paytmqr1evmhdslwz@paytm - (UPI Ref No 321595726202)-Federal Bank,03-08-2023 15:29,30.0,debited,0,1,0.0010741138560687433,-0.1710679460814297
8,AX-FEDBNK,Rs 150.00 debited from your A/c using UPI on 03-08-2023 16:33:46 to VPA Q469371404@ybl - (UPI Ref No 321598187265)-Federal Bank,03-08-2023 16:33,150.0,debited,0,1,0.0055187229156635435,-0.07881385636978448
9,AX-FEDBNK,Rs 410.00 debited from your A/c using UPI on 03-08-2023 16:53:21 to VPA 9416094828@icici - (UPI Ref No 321598977018)-Federal Bank,03-08-2023 16:53,410.0,debited,0,1,0.015148709211452276,0.12107000467211348
10,AX-FEDBNK,Rs 36.00 debited from your A/c using UPI on 03-08-2023 23:00:55 to VPA paytmqr281005050101wkt1k8kpcxp8@paytm - (UPI Ref No 321526558132)-Federal Bank,03-08-2023 23:01,36.0,debited,0,1,0.0012963443090484833,-0.16645524159584746
11,AX-FEDBNK,Rs 45.00 debited from your A/c using UPI on 05-08-2023 12:36:57 to VPA paytmqr1evmhdslwz@paytm - (UPI Ref No 321783086502)-Federal Bank,05-08-2023 12:37,45.0,debited,0,1,0.0016296899885180933,-0.15953618486747406
12,AX-FEDBNK,Rs 1.00 debited from your A/c using UPI on 06-08-2023 00:48:49 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 321819304407)-Federal Bank,06-08-2023 00:48,1.0,debited,0,1,0.0,-0.19336268442841065
13,AX-FEDBNK,Rs 550.00 debited from your A/c using UPI on 06-08-2023 00:53:58 to VPA Q613495241@ybl - (UPI Ref No 321819341343)-Federal Bank,06-08-2023 00:54,550.0,debited,0,1,0.02033408644764621,0.22869977600236624
14,AX-FEDBNK,Rs 135.00 debited from your A/c using UPI on 06-08-2023 19:14:01 to VPA 9416094828@icici - (UPI Ref No 321843868170)-Federal Bank,06-08-2023 19:14,135.0,debited,0,1,0.004963146783214193,-0.09034561758374014
15,AX-FEDBNK,Rs 10000.00 debited from your A/c using UPI on 06-08-2023 23:43:55 to VPA hemang.sengar@upi - (UPI Ref No 321823407065)-Federal Bank,06-08-2023 23:43,10000.0,debited,0,1,0.3703470498907367,7.493709340794428
